model,precision,recall,f1,auc,false_negatives,false_positives
Logistic Regression,0.06560922855082912,0.9285714285714286,0.12255892255892256,0.9766275495848311,7,1296
Random Forest,0.9310344827586207,0.826530612244898,0.8756756756756757,0.9631907278949847,17,6
XGBoost,0.8854166666666666,0.8673469387755102,0.8762886597938144,0.9772884533667154,13,11
